id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9469806,Beautiful apartment in centre,13594534,Nikki,,Haringrode,51.20197078643711,4.412680615610939,Entire home/apt,160,3,0,,,1,358
18554132,Characteristic mansion @ Zurenborg,34416465,Seth&Florianne,,Haringrode,51.20841417493659,4.423946822582526,Entire home/apt,50,2,0,,,23,345
14564139,Spacious apartment in Antwerp,36258248,Elke,,Haringrode,51.202659143952566,4.414806392724121,Entire home/apt,55,2,0,,,1,0
18368449,Private room close to the center of Antwerp,32962401,Denise,,Haringrode,51.201688014084155,4.417592191611006,Private room,34,1,3,2017-05-10,3,2,141
13937329,Appartement/Loft met tuintje,16899855,Margaux,,Haringrode,51.20207654852785,4.420331332862518,Entire home/apt,65,2,2,2016-08-05,0.20,1,0
12267515,Beautiful sunny house at Zurenborg,13902684,Bert,,Haringrode,51.205924695991925,4.4257705788828865,Entire home/apt,100,2,2,2017-05-01,0.16,1,7
17567044,SUNNY and SPACIOUS renovated apartment,10658365,Thomas,,Haringrode,51.20233271376483,4.422171163292847,Entire home/apt,56,2,3,2017-04-27,3,1,161
2792584,Spacious room in car-free street ,366948,Liesbet,,Haringrode,51.202424047725536,4.414370048201075,Private room,40,1,177,2017-05-06,4.75,1,246
11185079,Retro fifties 2 bedroom apartment,3643884,Noemi,,Haringrode,51.20562387735943,4.4185282611165375,Entire home/apt,90,2,6,2017-04-17,0.51,2,322
13212065,"Beautiful, elegant apartment near the City Center",53336187,Feya,,Haringrode,51.20719835381736,4.424127657222167,Entire home/apt,65,2,6,2017-01-02,0.55,1,151
8094749,"Unique modern, duplex loft",2793445,Christophe,,Haringrode,51.2053144647924,4.420828386474808,Entire home/apt,150,2,0,,,1,0
16659420,"Tranquil, yet trendy. Just outside the centre. FA",703854,Quinten,,Haringrode,51.20432726216541,4.42610562945342,Entire home/apt,65,10,0,,,1,316
213985,"Cosy, retro & near the city centre",1104077,Katrien,,Haringrode,51.20500143188442,4.421854069322534,Private room,40,7,2,2013-07-05,0.04,1,365
11184067,Fifties modern room (central+light),3643884,Noemi,,Haringrode,51.206640376743046,4.420012074511546,Private room,40,2,1,2016-05-14,0.08,2,322
17475537,Antwerp Loft #2 (fantastic location!),117500405,Raimondo Fred,,Haringrode,51.20201051925659,4.422487420941884,Entire home/apt,107,1,3,2017-04-28,2.43,4,335
18369681,Private double room in Antwerp,32962401,Denise,,Haringrode,51.20204060840777,4.41768324563988,Private room,38,1,2,2017-05-06,2,2,130
17426718,Antwerp Loft #1 (fantastic location!),117500405,Raimondo Fred,,Haringrode,51.201919439313606,4.423644252212963,Entire home/apt,107,1,1,2017-05-09,1,4,331
5027767,Charming House with garden,3042817,Maarten,,Haringrode,51.20143783652209,4.422449033215472,Entire home/apt,127,2,36,2017-05-02,1.59,1,214
3123638,Authentic loft in a beautifull park,15865713,Klara,,Haringrode,51.201557265455335,4.4263596526131606,Entire home/apt,190,3,4,2017-01-01,0.12,1,118
18505197,Charming room with private kitchen/bathroom,20266678,Elke,,Haringrode,51.204484420786095,4.427148155674701,Private room,55,1,0,,,2,275
7630221,Bright apartment with amazing view,3855037,Kristof,,Haringrode,51.207209725773424,4.420282810962743,Entire home/apt,53,2,4,2016-09-30,0.19,1,0
6168006,house with city garden Antwerp,20266678,Elke,,Haringrode,51.2029913677115,4.424947118347407,Entire home/apt,160,1,6,2017-04-30,0.25,2,364
16146411,Large double bedroom in Antwerp,2296760,Alexandra,,Haringrode,51.20192747314364,4.417052544682913,Private room,30,3,1,2017-01-01,0.23,1,281
16267350,Lebowski's Lodge,28501307,Ingrid,,Haringrode,51.2012084693829,4.430071093361705,Entire home/apt,60,1,8,2017-05-09,1.79,1,354
458757,Castle Suite with Private Wellness,2160916,Francis,,Haringrode,51.2019815365896,4.420127343525372,Private room,85,2,107,2017-04-29,1.76,2,357
435000,Castle Apartment & private Wellness,2160916,Francis,,Haringrode,51.20133717960466,4.418548773104341,Entire home/apt,250,2,24,2017-04-26,0.41,2,363
17837297,Loft in ancient militairy hospital in Antwerp,18575197,Karen,,Haringrode,51.20136536441733,4.424903895545269,Entire home/apt,150,7,0,,,1,72
11594953,Spacious apartment with terrace in Antwerp,61343779,Paul,,Haringrode,51.20358915253503,4.42284249676556,Entire home/apt,100,1,12,2017-04-30,2.35,1,140
5047962,Quiet place in an historical quarter,12309348,Luc & Kristina,,Haringrode,51.203545533355964,4.4240988372453245,Private room,62,1,72,2017-04-26,2.61,1,258
17476218,Antwerp Loft #4 (fantastic location!) DELUXE SUITE,117500405,Raimondo Fred,,Haringrode,51.2019584492056,4.423869201826773,Entire home/apt,129,1,1,2017-05-04,1,4,309
17494046,Antwerp Loft #3 (fantastic location!) DELUXE SUITE,117500405,Raimondo Fred,,Haringrode,51.20065286401914,4.422406483952264,Entire home/apt,129,1,0,,,4,343
18353668,Amazing view apartment. New & Clean,17183056,Anouk,,Haringrode,51.201186167167734,4.422748164698098,Entire home/apt,50,1,2,2017-05-02,2,1,0
