id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10182231,Family friedly apartment,50655909,Dimitris,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96371873983065,23.74147459833412,Entire home/apt,80,3,0,,,1,365
17802640,New 3Bdrm Apartment with Acropolis View in Athens,748818,George,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96164612279186,23.735758222427684,Entire home/apt,100,2,0,,,47,292
222637,Luxury 3-Bdrm Apartment with Acropolis view,748818,George,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.9602390127812,23.736312691209132,Entire home/apt,147,2,103,2017-04-13,1.70,47,242
1272844,Small hostel with garden in Mets,2717857,Katerina,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96470992352038,23.739298114501388,Entire home/apt,35,3,87,2017-04-22,1.91,1,308
7326724,Cozy retro flat in Athens' heart!,3556722,Avra,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96429191970808,23.73555035627064,Entire home/apt,36,2,112,2017-05-01,5.16,3,233
9834032,"",50450791,Γιωργος,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.963527612711104,23.740129298963176,Entire home/apt,45,2,16,2017-04-23,0.97,1,356
5246919,Acropolis - Athens - Panoramic view,27154620,Souzana,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.965006072991876,23.73910600605986,Entire home/apt,35,2,43,2017-05-02,1.69,1,254
13554349,"A Room of One's Own (Mets, Athens)",71096140,Irini,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96492552178527,23.740656120192902,Private room,20,2,36,2017-01-17,3.39,1,55
13308906,Apartment with a gorgeous view,14165090,Laura,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96495636312369,23.740526533882434,Entire home/apt,47,2,17,2017-05-01,1.51,1,342
16028956,Marvelous central & safe sleep 6 Sea View Parking,31676124,Evdokia,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96406919638087,23.74120689257136,Entire home/apt,134,2,1,2016-12-31,0.23,1,155
12752770,Lovely Apartment With A Back Yard Garden,67190984,Paul,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.964707928783696,23.74023564419352,Entire home/apt,25,20,0,,,1,156
4022613,"Charming apt in Mets, near Acropolis",6146372,Vanessa,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.964733080897766,23.737954829408835,Entire home/apt,50,2,32,2017-05-02,1.50,1,322
17163570,Amazing studio with Acropolis view!,17669053,Nik,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96420196039867,23.73879958905681,Entire home/apt,68,2,0,,,2,352
7235601,"Cozy flat,Great view, 2floor-3rooms",37877720,Chris,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96520996491647,23.740436740358707,Entire home/apt,130,7,6,2015-11-10,0.27,2,35
8662275,Spacious room in lovely location,19367012,Eleonora,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.964652100078396,23.739740936567053,Private room,26,2,21,2017-02-09,1.58,1,37
14331261,feels like a local,43685882,Anastasia,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96107196331775,23.73845866796374,Entire home/apt,37,1,5,2016-10-06,0.56,1,326
